,Food Code,Category,Food,Proteins (g),Fats (g),Carbs (g),Calories,Cholesterol,Saturated Fats (g),Total Fat (% Calories),Total Protein (% Calories),Total Carbohydrate (% Calories),Gram_Weight,Portion_Desc
137,11813000,Carbs,"Milk, dry, nonfat, not reconstituted",35.1,0.72,52.1899,358.0,18.0,0.467,1.8101,39.2179,58.3127,68.0,cup
138,11820000,Carbs,"Buttermilk, dry, not reconstituted",34.2999,5.78,49.0,387.0,69.0,3.5979,13.4419,35.4521,50.646,6.5,tablespoon
139,11825000,Carbs,"Whey, sweet, dry",12.93,1.07,74.4599,353.0,6.0,0.684,2.728,14.6516,84.3738,7.5,tablespoon
140,11830100,Carbs,"Cocoa, dry mix (with milk & sugar), not reconstituted",6.6699,4.0,83.73,398.0,0.0,2.3769,9.0452,6.7034,84.1508,28.35,envelope
141,11830110,Carbs,"Cocoa, dry mix (with nonfat dry milk & low calorie sweetener), not reconstituted",15.49,3.0,71.93,377.0,0.0,1.7768,7.1618,16.435,76.3183,7.0,tablespoon
143,11830160,Carbs,"Chocolate flavored powdered drink mix, not reconstituted",3.9199,2.68,90.59,402.0,0.0,2.0539,6.0,3.9004,90.1393,11.0,tablespoon
144,11830170,Carbs,"Chocolate-flavored powdered drink mix with low-calorie sweetener, not reconstituted",15.49,3.0,71.93,377.0,0.0,1.7768,7.1618,16.435,76.3183,5.2,envelope (.18 oz)
145,11830200,Carbs,"Malted milk, dry mix, natural flavor, not reconstituted",14.2898,9.5198,71.2099,428.0,24.0,4.7618,20.0183,13.355,66.5513,21.0,serving (3 heaping teaspoons or 1 envelope)
146,11830210,Carbs,"Malted milk, dry mix, fortified, natural flavor, not reconstituted",9.41,1.33,83.59,383.0,0.0,0.679,3.1253,9.8277,87.3003,21.0,serving (4 tablespoons)
147,11830250,Carbs,"Malted milk, dry mix, chocolate, not reconstituted",5.0998,4.7599,86.9398,411.0,1.0,2.3809,10.4231,4.9633,84.6129,21.0,serving (3 heaping teaspoons or 1 envelope)
148,11830260,Carbs,"Malted milk, dry mix, fortified, chocolate, not reconstituted",4.9,3.3999,84.5999,389.0,0.0,1.964,7.8661,5.0386,86.9922,21.0,serving (4 tablespoons)
149,11830400,Carbs,"Nestle's Quik powder, strawberry",0.1,0.2,99.0999,389.0,0.0,0.0,0.4627,0.1028,101.9022,22.0,serving (2-3 heaping teaspoons)
150,11830800,Carbs,"Instant breakfast, powder, not reconstituted",19.8998,1.3998,66.2,357.0,12.0,0.56,3.5289,22.2967,74.1737,37.0,envelope (1.3 oz)
151,11830810,Carbs,"Instant breakfast, powder, sweetened with low calorie sweetener, not reconstituted",35.7999,5.0999,41.0,358.0,44.0,2.1619,12.821,39.9999,45.8101,20.0,envelope (.71 oz)
152,11830900,Carbs,"Protein supplement powder, milk-based, not reconstituted",29.3999,1.5,58.7999,366.0,15.0,0.525,3.6885,32.131,64.2622,11.0,tablespoon
153,11830940,Carbs,"Meal replacement powder, high protein, milk-based, to mix with fruit juice, not reconstituted",32.0,0.0,54.5,346.0,0.0,0.0,0.0,36.9942,63.0058,31.0,scoop (1.1 oz)
154,11830970,Carbs,"Meal replacement powder, milk-based, not reconstituted",17.6,0.4,63.5,324.0,9.0,0.183,1.1111,21.7284,78.3951,33.0,scoop (1.2 oz)
155,11830990,Carbs,"Nutrient supplement powder, milk-based, not reconstituted",23.5,3.5,66.4,388.0,15.0,2.1899,8.1186,24.2268,68.4536,12.5,tablespoon
156,11831500,Proteins,"Nutrient supplement powder, milk-based, high protein, not reconstituted",55.6,7.4,18.5,363.0,0.0,0.7070000000000001,18.3471,61.2672,20.3857,27.0,packet (0.95 oz)
157,11832000,Carbs,"Meal replacement powder, milk- and soy-based,  not reconstituted",33.7,2.2,47.2,343.0,5.0,0.317,5.7726,39.3003,55.0437,10.0,tablespoon
158,12110100,Fats,"Cream, light",2.7,19.3098,3.66,195.0,66.0,12.02,89.1222,5.5385,7.5077,15.0,tablespoon
159,12110300,Fats,"Cream, light, whipped, unsweetened",2.1699,30.91,2.96,292.0,111.0,19.337,95.2705,2.9725,4.0548,120.0,cup
160,12120100,Fats,"Cream, half and half",2.96,11.5,4.2999,130.0,37.0,7.1579999999999995,79.6154,9.1077,13.2305,15.1,tablespoon
161,12120105,Fats,"Cream, half and half, low fat",2.7799,6.45,6.65,94.0,21.0,4.0,61.7553,11.8294,28.2979,15.1,tablespoon
162,12120110,Carbs,"Cream, half and half, fat free",2.6,1.3998,9.0,59.0,5.0,0.841,21.3529,17.6271,61.0169,15.1,tablespoon
