Action,portion_code,portiondesc,Active
,6029400,Weight Watchers pizza,1
,6029600,Weight Watchers Treat Bar,1
,6029700,Weight Watchers entr?e,1
,6029900,Weight Watchers meal (11 oz),1
,6030100,Wendy's Chicken Club,1
,6030200,Wendy's Kid's Meal hamburger,1
,6030300,Wendy's Kid's meal cheeseburger,1
,6030400,Wendy's sandwich,1
,6030500,Wendy's Single hamburger,1
,6030600,Wendy's bacon cheeseburger,1
,6030700,Wendy's cheeseburger,1
,6030800,Wheat Thin,1
,6030900,Wheatable,1
,6031100,Wheatsworth,1
,6031200,White Castle Miniature,1
,6031400,akule fillet,1
,6031500,almond,1
,6031800,apple,1
,6031900,apple with liquid,1
,6032000,apricot,1
,6032100,apricot half,1
,6032200,apricot half with liquid,1
,6032300,"apricot, whole",1
,6032400,California avocado (black skin),1
,6032500,Florida avocado (green skin),1
,6032700,baby carrot(s),1
,6032800,baby ear(s),1
,6033000,bag (2.7 oz),1
,6033001,bag (3 oz),1
,6033100,bag (1.5 oz),1
,6033200,bag (2 oz),1
,6033201,bag (11 oz),1
,6033202,bag (12 oz),1
,6033203,bag (10 oz),1
,6033400,bag Cadbury Mini Eggs (1.5 oz),1
,6033600,chip,1
,6033800,ball,1
,6033801,codfish ball,1
,6033802,malted milk ball,1
,6034000,"banana (4"" x 1-1/2"" x 1-1/2"")",1
,6034100,"banana (7-1/4"" long)",1
,6034300,banana,1
,6034400,banana split,1
,6034500,bar,1
,6034501,bar (.8 oz),1
,6034502,bar (1.2 oz),1
,6034503,bar (1.3 oz),1
,6034504,bar (1.4 oz),1
,6034505,bar (1.5 oz),1
,6034506,bar (1.6 oz),1
,6034507,bar (2.1 oz),1
,6034508,bar (2.8 oz),1
,6034509,bar (3 fl oz),1
,6034510,bar (2.5 fl oz),1
,6034511,bar (1.75 fl oz),1
,6035200,bar (1.2 oz),1
,6036000,bar (1.4 oz),1
,6036100,bar (1.5 oz),1
,6036200,bar (1.5 oz),1
,6036300,bar (1.6 oz),1
,6036600,bar,1
,6036700,bar (1.7 oz),1
,6036701,bar (1.8 oz),1
,6036800,bar (1.8 oz),1
,6037100,bar (1.9 oz),1
,6037200,bar (1.9 oz),1
,6037300,bar (1.9 oz),1
,6037400,bar (2 oz),1
,6037500,"bar (2"" square, 1-1/8"" high)",1
,6037600,"bar (2-1/4"" x 1-1/2"" x 3/4"")",1
,6037700,bar (2.1 oz),1
,6037900,bar (2.1 oz),1
,6038000,bar (2.2 oz),1
,6038500,bar,1
,6038501,bar (3 fl oz),1
,6038600,"bar (3"" long)",1
,6038800,bar (5 oz),1
,6039600,barbecue sandwich,1
,6039700,barrel-shaped candy,1
,6039900,"beet (2"" across)",1
,6040000,berry,1
,6040100,bierock or turnover,1
,6040200,"big cookie (3-1/2"" - 4"" across)",1
,6040300,"big cookie (3-1/2"" - 4"" across)",1
,6040400,"big cookie (approx 3-1/2"" - 4"" across)",1
,6040600,biscuit,1
,6040700,"biscuit (2"" across)",1
,6040800,"biscuit (2"" across) with fruit",1
,6040900,"biscuit (2"" across) with fruit and whipped cream",1
,6041000,"biscuit (2-1/4"" across)",1
,6041100,"biscuit (3"" across)",1
,6041200,"biscuit (4"" across)",1
,6041300,bite size,1
,6041301,minis bar,1
,6041400,bite size,1
,6041600,bite size Teddy Graham,1
,6041700,blintz,1
,6041900,bon-bon,1
,6042000,bottle (10 fl oz),1
,6042100,bottle (11 fl oz),1
,6042200,bottle (12 fl oz),1
,6042300,bottle (12.6 fl oz),1
,6042400,can (16 fl oz),1
,6042401,can or bottle (16 fl oz),1
,6042600,bottle (9 fl oz),1
,6043300,box (1.3 oz),1
,6043600,"box (1.6 oz), Junior Mints",1
,6043900,box (1.8 oz),1
,6044300,box (2.25 oz),1
,6044900,whole breast,1
,6045000,whole breast,1
,6045001,whole bird,1
,6045400,"brownie (2"" square)",1
,6045900,Peeps bunny or chicken,1
,6046000,burrito,1
,6046100,butter cream,1
,6046200,cabbage roll,1
,6046300,cake,1
,6046301,codfish cake,1
,6046302,regular cake,1
,6046500,"cake (3"" across) with fruit",1
,6046600,"cake (3"" across) with fruit and whipped cream",1
,6046900,"cake (6"" across)",1
,6047900,cake or patty,1
,6048100,calzone or stromboli,1
,6048200,can (11.7 fl oz),1
,6048201,can (16 fl oz),1
,6048202,can (8 fl oz),1
,6048203,can (8.3 fl oz),1
,6048204,can (6 fl oz.),1
,6048700,can (10 fl oz),1
,6048900,"can (10.5 oz), prepared",1
,6048901,"can (10.75 oz), prepared",1
,6048902,"can (10.5 oz), undiluted",1
,6048903,can (14.5 oz),1
,6048904,"can (14.5 oz), drained",1
,6049000,"can (10.5 oz), ready-to-serve",1
,6049100,"can (4.5 oz.), chopped",1
,6049110,"can (4 oz.), diced",1
,6049120,"can (4 oz.), whole",1
,6049200,"can (10.75 oz), ready-to-serve",1
,6049201,"can (10.75 oz), undiluted",1
,6049300,"can (10.75 oz), prepared",1
,6049400,"can (10.75 oz), ready-to-serve",1
,6049500,can (10.75 oz),1
,6049510,can (10 oz.),1
,6049600,can (11 fl oz),1
,6049700,"can (11 oz), prepared",1
,6049800,"can (11 oz), undiluted",1
,6049900,"can (11.25 oz), prepared",1
,6050000,"can (11.25 oz), prepared",1
,6050100,can (12 fl oz),1
,6050101,can or bottle (12 fl oz),1
,6050200,can (12 oz),1
,6050300,"can (12 oz), drained",1
,6050400,"can (12 oz), oysters and liquid",1
,6050500,can  (12.5 fl oz),1
,6050600,"can (12.5 to 13 oz), drained",1
,6050800,"can (13 oz), drained",1
,6050900,"can (13 oz), ready-to-eat",1
,6051000,can (14 oz),1
,6051100,"can (15 oz), drained",1
,6051200,can (15.5 oz),1
,6051300,"can (18.75 oz), ready-to-serve",1
,6051400,"can (19 oz), ready-to-serve",1
,6051500,"can (19 oz), ready-to-serve",1
,6051600,"can (19.25 oz), ready-to-serve",1
,6051700,"can (2 oz), drained",1
,6051900,"can (3.75 oz), drained",1
,6052000,can (4 oz),1
,6052100,"can (4.375 oz, 4 sardines), drained",1
,6052500,can (5 oz),1
,6052800,"can (6.5 oz), drained",1
,6052801,can (6.5 oz),1
,6052900,"can (7.25 oz), ready-to-serve",1
,6053000,can (7.5 oz),1
,6053100,can (8 fl oz),1
,6053200,"can (8 oz), solids and liquids",1
,6053201,can (8 oz),1
,6053300,can or bottle (12 fl oz),1
,6053600,candy cane,1
,6053700,"canned potato (approx 1"" across)",1
,6053800,cannelloni,1
,6053900,carafe,1
,6054000,carton (12 fl oz),1
,6054100,"carton (7.5 fl oz), prepared",1
,6054200,"carton (8 fl oz), prepared",1
,6054300,"fillet (5"" x 2-1/2"" x 3/8"")",1
,6054500,chalupa,1
,6054700,cheeseburger,1
,6054800,cheeseburger with ham,1
,6055000,cherry tomato,1
,6055001,chocolate covered cherry,1
,6055002,cherry,1
,6055100,cherry pepper,1
,6055700,chicken back with sauce,1
,6055900,chicken drumstick with sauce,1
,6055901,drumstick with sauce,1
,6056000,chicken heart,1
,6056200,chicken leg (drumstick and thigh) with sauce,1
,6056201,leg (drumstick and thigh) with sauce,1
,6056400,chicken thigh with sauce,1
,6056401,thigh with sauce,1
,6056600,chicken wing with sauce,1
,6056601,chicken wing,1
,6056602,wing with sauce,1
,6056700,chili,1
,6056800,chiliburger,1
,6056900,chimichanga,1
,6057000,chip(s),1
,6057400,chocolate-coated or chocolate striped,1
,6057500,chop,1
,6057600,chunk,1
,6057700,chunk with liquid,1
,6057800,churro,1
,6058000,clam,1
,6058100,clove,1
,6058300,cocktail,1
,6058400,cocktail frank,1
,6058500,cocktail meatball,1
,6058600,cocktail size,1
,6058800,coffee cup (6 fl oz),1
,6058900,cone,1
,6058901,"cone, cotton candy",1
,6059000,cone and double dip,1
,6059100,cone and double dip,1
,6059200,cone and single dip,1
,6059300,cone and single dip,1
,6059700,fast food container,1
,6059900,cookie,1
,6060000,"cookie (2"" across)",1
,6060200,"cookie (2-1/2"" across)",1
,6060400,cordial glass,1
,6060500,medium,1
,6060600,cottontail rabbit,1
,6060800,crabapple,1
,6060900,cracker,1
,6060901,cracker or wheat wafer,1
,6061100,"cracker (2-1/2"" x 2"" x 1/4"")",1
,6061200,"crispbread (3-1/2"" x 1-7/8"" x 1/4"")",1
,6061300,"cracker (4-1/2"" x 2-1/2"" x 1/8"")",1
,6061400,"cracker (5"" x 2"")",1
,6061500,regular cracker (various shapes),1
,6061600,cracker,1
,6061700,crayfish,1
,6061800,cream horn,1
,6061900,cream pop (about 2 oz),1
,6062000,cream puff,1
,6062100,"cream puff (3-1/2"" x 2"")",1
,6062200,"crepe (10"" across)",1
,6062300,"crepe (7"" across)",1
,6062400,"crepe (8"" across)",1
,6062500,"crepe (9"" across)",1
,6062600,crepe with filling,1
,6062700,"crepe with filling, no sauce",1
