Action,Food_Item_ID,foodcode,modcode,foodname,All Foods,Beverages,"Breads, cereals, bakery items",Pasta and rice*,Fruits*,Vegetables*,Dairy*,"Meat, poultry, fish, eggs, and soy*",Meals and entrees (mixed dishes),Snacks,Additions to foods**,Fast foods,Sweets and desserts,Recipe Ingredients,,
,,11551050,204588,"Fruit smoothie, made with whole milk",X,X,,,X,,X,,,,,,,,,
,,11551050,206451,"Fruit smoothie, made with fat free (skim) milk",X,X,,,X,,X,,,,,,,,,
,,11551050,206885,"Fruit smoothie, made with reduced fat (2%) milk",X,X,,,X,,X,,,,,,,,,
,,11551050,206927,"Fruit smoothie, made with low fat (1%) milk",X,X,,,X,,X,,,,,,,,,
,,11552200,000000,Orange Julius,X,X,,,X,,X,,,,,,,,,
,,11553000,000000,"Fruit smoothie, made with yogurt and ice cream",X,X,,,X,,X,,,,,X,X,,,
,,11560000,000000,"Yoo-Hoo drink, chocolate",X,X,,,,,X,,,,,,,,,
,,11560020,000000,"Yoo-Hoo drink, strawberry",X,X,,,,,X,,,,,,,,,
,,11561000,000000,"Cafe con leche, with whole milk",X,X,,,,,X,,,,,,,,,
,,11561010,000000,Cafe con leche  with sugar,X,X,,,,,X,,,,,,,,,
,,11561010,204009,Cafe con leche with sugar and 2% milk,X,X,,,,,X,,,,,,,,,
,,11611000,000000,"Instant breakfast, canned",X,X,,,,,X,,X,,,,,,,
,,11612000,100069,"Instant breakfast, powder, with 2% milk",X,X,,,,,X,,X,,,,,,,
,,11612000,200404,"Instant breakfast, powder, with whole milk ",X,X,,,,,X,,X,,,,,,,
,,11612000,201746,"Instant breakfast, powder, with skim milk",X,X,,,,,X,,X,,,,,,,
,,11612000,206499,"Instant breakfast, powder, with 1% milk",X,X,,,,,X,,X,,,,,,,
,,11613000,203344,"Instant breakfast, powder, low calorie sweetener, with 2% milk",X,X,,,,,X,,X,,,,,,,
,,11622010,000000,"Diet beverage, powder, made with skim milk",X,X,,,,,X,,X,,,,,,,
,,11623000,000000,"Meal replacement, ready-to-drink, (Ultra Slim Fast)",X,X,,,,,X,,X,,,,,,,
,,11631000,000000,Nutrament energy drink,X,X,,,,,X,,X,,,,,,,
,,11641000,000000,"Sustacal Powder, reconstituted",X,X,,,,,X,,X,,,,,,,
,,11641020,000000,"Meal supplement, ready-to-drink, (Boost)",X,X,,,,,X,,X,,,,,,,
,,11811000,000000,Whole dry milk powder,X,X,,,,,X,,,,X,,,X,,
,,11812000,000000,"Milk, dry, low fat, not reconstituted",X,X,,,,,X,,,,X,,,X,,
,,11813000,000000,nonfat dry milk,X,X,,,,,X,,,,X,,,X,,
,,11820000,000000,"Buttermilk, dry, powdered",X,,,,,,X,,,,X,,,X,,
,,11825000,000000,"Whey, sweet, dry",X,,,,,,X,,,,X,,,X,,
,,11830100,000000,"Cocoa, dry mix (with milk & sugar), not reconstituted",X,X,,,,,X,,,,X,,,,,
,,11830110,000000,Sugar free dry cocoa mix,X,X,,,,,X,,,,X,,,,,
,,11830150,000000,unsweetened cocoa powder,X,,,,,,,,,,X,,,X,,
,,11830160,000000,"Nestle's Quik powder, chocolate",X,X,,,,,,,,,X,,,X,,
,,11830170,000000,Swiss Miss sugar free Chocolate Milk ,X,X,,,,,X,,,,X,,,X,,
,,11830200,000000,"Malted milk, dry mix, natural flavor, not reconstituted",X,X,,,,,X,,,,X,,,X,,
,,11830210,000000,"Ovaltine powder, natural flavor",X,X,,,,,X,,,,X,,,X,,
,,11830250,000000,"Malted milk, dry mix, chocolate, not reconstituted",X,X,,,,,X,,,,X,,,X,,
,,11830260,000000,"Ovaltine powder, chocolate",X,X,,,,,X,,,,X,,,X,,
,,11830400,000000,"Strawberry-flavored powdered drink mix, not reconstituted",X,X,,,,,X,,,,X,,,X,,
,,11830800,000000,"Instant breakfast, powder, not reconstituted",X,X,,,,,,,,,X,,,X,,
,,11830810,000000,"Instant breakfast, powder, sweetened with low calorie sweetener, not reconstituted",X,X,,,,,,,,,X,,,X,,
,,11830900,000000,"Protein supplement powder, milk-based, not reconstituted",X,X,,,,,X,,,,X,,,X,,
,,11830940,000000,"Meal replacement powder, high protein, milk-based, to mix with fruit juice, not reconstituted",X,X,,,,,X,,X,,X,,,X,,
,,11830970,000000,"Ultra Slim Fast powder, not reconstituted",X,X,,,,,X,,X,,X,,,X,,
,,11830990,000000,"Nutrient supplement powder, milk-based, not reconstituted",X,X,,,,,X,,,,X,,,X,,
,,11831500,000000,"Nutrient supplement powder, milk-based, high protein, not reconstituted",X,X,,,,,X,,,,X,,,X,,
,,11832000,000000,"Meal replacement powder, milk- and soy-based,  not reconstituted",X,X,,,,,X,,X,,X,,,X,,
,,12110100,000000,Light cream,X,,,,,,X,,,,X,,,X,,
,,12110300,000000,"Light cream, whipped, unsweetened",X,,,,,,X,,,,X,,X,X,,
,,12120100,000000,Half and half,X,,,,,,X,,,,X,,,X,,
,,12120105,000000,Low fat half and half,X,,,,,,X,,,,X,,,X,,
,,12120110,000000,fat free half and half,X,,,,,,X,,,,X,,,X,,
,,12130100,000000,heavy cream,X,,,,,,X,,,,X,,,X,,
,,12130200,000000,"Whipped cream, heavy, unsweetened",X,,,,,,X,,,,X,,X,X,,
,,12140000,000000,"Whipped cream, heavy, sweetened",X,,,,,,X,,,,X,,X,X,,
,,12140100,000000,"Whipped cream, pressurized container",X,,,,,,X,,,,X,,X,X,,
,,12140105,000000,"Whipped cream, light, pressurized container",X,,,,,,X,,,,X,,X,X,,
,,12140110,000000,"Whipped cream, fat free, pressurized container",X,,,,,,X,,,,X,,X,X,,
,,12210200,000000,"Cream substitute, liquid",X,,,,,,,,,,X,,,X,,
,,12210210,000000,"Cream substitute, flavored, liquid",X,,,,,,,,,,X,,,X,,
,,12210250,000000,"Cream substitute, light, liquid",X,,,,,,,,,,X,,,X,,
,,12210400,000000,Cremora,X,,,,,,,,,,X,,,X,,
,,12210410,000000,"Cremora, light",X,,,,,,,,,,X,,,X,,
,,12210420,000000,"Cream substitute, flavored, powdered",X,,,,,,,,,,X,,,X,,
,,12220100,000000,whipped topping,X,,,,,,,,,,X,,X,X,,
,,12220200,000000,frozen whipped topping,X,,,,,,,,,,X,,X,X,,
,,12220250,000000,lite whipped topping,X,,,,,,,,,,X,,X,X,,
,,12220270,000000,sugar free frozen whipped topping,X,,,,,,,,,,X,,X,X,,
,,12220280,000000,"Whipped topping, nondairy, frozen, sugar free",X,,,,,,,,,,X,,X,X,,
,,12220300,000000,"Whipped topping, nondairy, made from powdered mix",X,,,,,,,,,,X,,X,X,,
,,12310100,000000,sour cream,X,,,,,,X,,,,X,,,X,,
,,12310200,000000,"Sour cream, half and half",X,,,,,,X,,,,X,,,X,,
,,12310300,000000,reduced fat sour cream,X,,,,,,X,,,,X,,,X,,
,,12310340,000000,"Sour cream, low fat",X,,,,,,,,,,X,,,X,,
,,12310350,000000,light sour cream,X,,,,,,X,,,,X,,,X,,
,,12310370,000000,fat free sour cream,X,,,,,,X,,,,X,,,X,,
,,12320100,000000,"Sour cream, imitation (nondairy)",X,,,,,,,,,,X,,,X,,
,,12350000,000000,"Ranch dip, made with sour cream",X,,,,,,X,,,X,X,,,,,
,,12350000,201766,"Ranch dip, made with fat free sour cream",X,,,,,,X,,,X,X,,,,,
,,12350000,202322,"Ranch dip, made with light sour cream",X,,,,,,X,,,X,X,,,,,
,,12350020,000000,"Ranch dip, made with reduced fat sour cream",X,,,,,,X,,,X,X,,,,,
,,12350100,000000,"Spinach dip, made with sour cream and mayonnaise",X,,,,,,X,,,X,X,,,,,
,,12350100,100968,"Spinach dip, made with fat free sour cream and low-calorie mayonnaise",X,,,,,,X,,,X,X,,,,,
,,12350100,206570,"Spinach dip, made with reduced fat sour cream and mayonnaise",X,,,,,,X,,,X,X,,,,,
,,12350110,000000,Spinach and artichoke dip,X,,,,,,X,,,X,X,,,,,
,,13110100,000000,"Ice cream, regular, vanilla or other flavors",X,,,,,,X,,,,,,X,X,,
,,13110110,000000,"Ice cream, regular, chocolate",X,,,,,,X,,,,,,X,X,,
,,13110120,000000,"Ice cream, premium (rich), vanilla or other flavors",X,,,,,,X,,,,,,X,,,
,,13110130,000000,"Ice cream, premium (rich), chocolate",X,,,,,,X,,,,,,X,,,
,,13110200,000000,"Ice cream, soft serve, vanilla or other flavors",X,,,,,,X,,,,,,X,,,
,,13110210,000000,"Ice cream, soft serve, chocolate",X,,,,,,X,,,,,,X,,,
,,13110320,000000,"Ice cream, no sugar added, vanilla or other flavors",X,,,,,,X,,,,,,X,X,,
,,13110330,000000,"Ice cream, no sugar added, chocolate",X,,,,,,X,,,,,,X,X,,
,,13120050,000000,"Ice cream bar, no coating",X,,,,,,X,,,,,,X,,,
,,13120100,000000,Klondike Ice Cream Bar,X,,,,,,X,,,,,,X,,,
,,13120110,000000,"Ice cream bar, chocolate or caramel covered, with nuts",X,,,,,,X,,,,,,X,,,
,,13120120,000000,"Ice cream bar, rich chocolate ice cream, thick chocolate covering",X,,,,,,X,,,,,,X,,,
,,13120121,000000,"Ice cream bar, rich ice cream, thick chocolate covering",X,,,,,,X,,,,,,X,,,
,,13120130,000000,"Ice cream bar, rich ice cream, chocolate covered, with nuts",X,,,,,,X,,,,,,X,,,
,,13120140,000000,"Ice cream bar, chocolate ice cream, chocolate covered",X,,,,,,X,,,,,,X,,,
,,13120300,000000,"Ice cream bar, cake covered",X,,,,,,X,,,,,,X,,,
,,13120310,000000,"Ice cream bar, with crunch coating",X,,,,,,X,,,,,,X,,,
,,13120400,000000,Ice cream bar or stick with fruit,X,,,,,,X,,,,,,X,,,
,,13120500,000000,Ice cream sandwich,X,,,,,,X,,,,,,X,,,
,,13120550,000000,Ice cream cookie sandwich,X,,,,,,X,,,,,,X,,,
,,13120700,000000,"Ice cream cone, vanilla ice cream or other flavors, with nuts",X,,,,,,X,,,,,,X,,,
,,13120710,000000,"Ice cream cone, vanilla ice cream or other flavors, chocolate covered, with nuts",X,,,,,,X,,,,,,X,,,
,,13120720,000000,"Ice cream cone, vanilla ice cream or other flavors, chocolate covered",X,,,,,,X,,,,,,X,,,
,,13120730,000000,"Ice cream cone, vanilla ice cream or other flavors ",X,,,,,,X,,,,,,X,,,
,,13120750,000000,"Ice cream cone, chocolate ice cream, with nuts",X,,,,,,X,,,,,,X,,,
,,13120760,000000,"Ice cream cone, chocolate ice cream, chocolate covered ",X,,,,,,X,,,,,,X,,,
,,13120770,000000,"Ice cream cone, chocolate ice cream",X,,,,,,X,,,,,,X,,,
,,13120780,000000,"Ice cream cone, chocolate ice cream, chocolate covered, with nuts",X,,,,,,X,,,,,,X,,,
,,13120790,000000,Ice cream sundae cone,X,,,,,,X,,,,,,X,,,
,,13120800,000000,"Ice cream soda, vanilla or other flavors",X,X,,,,,X,,,,,,X,,,
,,13120810,000000,"Ice cream soda, chocolate",X,X,,,,,X,,,,,,X,,,
,,13121100,000000,"Ice cream sundae, fruit topping, with whipped cream",X,,,,,,X,,,,,,X,,,
,,13121200,000000,"Ice cream sundae, prepackaged, vanilla or other flavors",X,,,,,,X,,,,,,X,,,
,,13121300,000000,"Ice cream sundae, chocolate or fudge topping, with whipped cream",X,,,,,,X,,,,,,X,,,
,,13121400,000000,"Ice cream sundae, caramel or butterscotch topping, with whipped cream",X,,,,,,X,,,,,,X,,,
,,13121500,000000,"Ice cream sundae, fudge topping, with cake and whipped cream",X,,,,,,X,,,,,,X,,,
,,13122100,000000,"Pie, ice cream, no crust",X,,,,,,X,,,,,,X,,,
,,13122500,000000,"Pie, ice cream, with cookie crust, fudge topping, and whipped cream",X,,,,,,X,,,,,,X,,,
,,13126000,000000,"Ice cream, fried",X,,,,,,X,,,,,,X,,,
,,13130300,000000,"Light ice cream, vanilla or other flavors",X,,,,,,X,,,,,,X,X,,
,,13130310,000000,"Light ice cream, chocolate",X,,,,,,X,,,,,,X,X,,
,,13130330,000000,"Light ice cream, no sugar added, vanilla or other flavors",X,,,,,,X,,,,,,X,X,,
,,13130340,000000,"Light ice cream, no sugar added, chocolate",X,,,,,,X,,,,,,X,X,,
,,13130600,000000,Wendy's Frosty Dairy Dessert,X,,,,,,X,,,,,X,X,X,,
,,13130610,000000,"Light ice cream, soft serve, chocolate",X,,,,,,X,,,,,X,X,X,,
,,13130620,000000,"Light ice cream, soft serve cone, vanilla or other flavors",X,,,,,,X,,,,,X,X,X,,
,,13130630,000000,"Light ice cream, soft serve cone, chocolate",X,,,,,,X,,,,,X,X,X,,
,,13130700,000000,"Light ice cream, soft serve, blended with candy or cookies",X,,,,,,X,,,,,X,X,X,,
,,13135000,000000,"Ice cream sandwich, light vanilla ice cream",X,,,,,,X,,,,,X,X,,,
,,13135010,000000,"Ice cream sandwich, light chocolate ice cream",X,,,,,,X,,,,,,X,,,
,,13136000,000000,"Ice cream sandwich, light, no-sugar- added ice cream",X,,,,,,X,,,,,,X,,,
,,13140100,000000,"Light ice cream bar, chocolate-coated",X,,,,,,X,,,,,,X,,,
,,13140110,000000,"Light ice cream bar, chocolate covered, with nuts",X,,,,,,X,,,,,,X,,,
,,13140500,000000,"Light ice cream cone, chocolate",X,,,,,,X,,,,,,X,,,
,,13140550,000000,"Light ice cream cone, vanilla or other flavors ",X,,,,,,X,,,,,,X,,,
,,13140600,000000,"Light ice cream sundae, soft serve, chocolate or fudge topping, with whipped cream ",X,,,,,,X,,,,,,X,,,
,,13140630,000000,"Light ice cream sundae, soft serve, fruit topping, with whipped cream",X,,,,,,X,,,,,,X,,,
,,13140650,000000,"Light ice cream sundae, soft serve, caramel or butterscotch topping, with whipped cream",X,,,,,,X,,,,,,X,,,
,,13140660,000000,"Light ice cream sundae, soft serve, chocolate or fudge topping, no whipped cream",X,,,,,,X,,,,,X,X,,,
,,13140670,000000,"Light ice cream sundae, soft serve, fruit topping, no whipped cream",X,,,,,,X,,,,,X,X,,,
