Food_Item_ID,foodcode,modcode,Food_Category,foodname,_203 Protein (g),_204 Total Fat (g),_205 Carbohydrate (g),_208 Energy (kcal),_221 Alcohol (g),_255 Water (g),_262 Caffeine (mg),_263 Theobromine (mg),"_269 Sugars, total (g)","_291 Fiber, total dietary (g)",_301 Calcium (mg),_303 Iron (mg),_304 Magnesium (mg),_305 Phosphorus (mg),_306 Potassium (mg),_307 Sodium (mg),_309 Zinc (mg),_312 Copper (mg),_317 Selenium (mcg),_319 Retinol (mcg),"_320 Vitamin A, RAE (mcg_RAE)","_321 Carotene, beta (mcg)","_322 Carotene, alpha (mcg)",_323 Vitamin E (alpha-tocopherol)(mg),_328 Vitamin D (mcg),"_334 Cryptoxanthin, beta (mcg)",_337 Lycopene (mcg),_338 Lutein + zeaxanthin (mcg),_401 Vitamin C (mg),_404 Thiamin (mg),_405 Riboflavin (mg),_406 Niacin (mg),_415 Vitamin B-6 (mg),"_417 Folate, total (mcg)",_418 Vitamin B-12 (mcg),"_421 Choline, total (mg)",_430 Vitamin K (phylloquinone)(mcg),_431 Folic acid (mcg),"_432 Folate, food (mcg)","_435 Folate, DFE (mcg_DFE)","_573 Vitamin E, added (mg)","_578 Vitamin B-12, added (mcg)",_601 Cholesterol (mg),"_606 Fatty acids, total saturated (g)"
2719,56205080,000000,,"Rice, creamed, made with milk and sugar, Puerto Rican style",2.1899,0.9,17.48,87,0,78.75,0,0,8.8498,0.1,56,0.46,8,51,73,125,0.31,0.034,3,23,23,2,0,0.03,0.5,0,0,0,0,0.066,0.084,0.498,0.031,19,0.17,6.7999,0.1,17,2,31,0,0,3,0.519
2730,56205320,205440,,"Rice, white and wild blend, cooked with butter",2.1899,2.172,20.5949,112.171,0,73.4369,0,0,0.131,0.541,10.743,0.978,13.805,41.5069,41.372,506.8179,0.498,0.076,3.446,16.405,16.762,4.2949,0,0.115,0.037,0,0,8.643,0,0.105,0.02,1.197,0.05,38.21,0.004,3.176,0.272,34.161,4.049,62.1079,0,0,5.256,1.302
4520,75410010,000000,,"Celery, creamed",2.1899,4.9,6.33,76,0,85.0999,0,0,3.27,1,76,0.38,13,58,225,336,0.26,0.027,2.3999,47,61,180,0,0.32,0.5,0,0,179,3.7,0.044,0.122,0.384,0.065,22,0.13,10.6999,21,1,20,22,0,0,3,1.3148
6873,53261000,000000,Carbs,"Cookie, gluten free",2.1899,17.89,76.03,474,0,2.8399,6,188,49,2.5,19,2.81,40,70,157,275,0.66,0.261,0,0,0,0,0,2.31,0,0,0,3,0,0.05,0.076,0.39,0,0,0,19.6,25.6,0,0,0,0,0,0,7.905
5157,56207300,900000,,"Maltex or Malt-O-Meal, cooked (no salt or fat added)",2.18,0.41,15.02,68,0,81.7399,0,0,0.13,0.8,10,0.65,22,64,96,5,0.72,0.13,13.6999,0,0,0,0,0.43,0,0,0,29,0,0.081,0.035,0.815,0.026,8,0,3.7,0.5,0,8,8,0,0,0,0.062
4094,74405010,000000,,Tomato relish,2.18,0.59,37.63,157,0,57.1199,0,0,33.17,2.3999,59,1.1899,24,56,374,370,0.26,0.145,2,0,47,508,83,0.62,0,42,0,37,42.1,0.094,0.064,0.749,0.192,19,0,13.3,12.1999,0,19,19,0,0,0,0.076
3507,62122100,000000,,"Prune, dried, uncooked",2.18,0.38,63.88,240,0,30.92,0,0,38.13,7.0998,43,0.93,41,69,732,2,0.44,0.281,0.3,0,39,394,57,0.43,0,93,0,148,0.6,0.051,0.186,1.8818,0.205,4,0,10.1,59.5,0,4,4,0,0,0,0.088
3371,58161310,203490,,"Rice, brown with tomato sauce, cooked without fat ",2.18,0.675,17.4699,83.8479,0,78.039,0,0,1.5289,1.696,11.0079,0.601,34.52,65.138,130.035,436.487,0.496,0.105,6.822,0,6.3339,74.569,0,0.451,0,0.864,4024.732,6.6219,2.015,0.073,0.036,1.3349,0.128,5.093,0,9.047,1.262,0,5.093,5.093,0,0,0,0.132
6635,63403020,000000,,"Fruit salad (with citrus fruits), with whipped cream",2.18,10.17,14.4,147,0,72.62,0,0,9.74,2.2999,31,0.4,25,49,218,5,0.36,0.178,0.8,47,53,47,8,0.31,0.1,32,0,54,17.3998,0.077,0.065,0.379,0.168,22,0.02,11.1,3.1,0,22,22,0,0,16,3.2559
6343,58118110,000000,,"Tembleque, cornstarch coconut pudding, Puerto Rican style",2.18,22.51,20.87,279,0,53.6199,0,0,13.0299,2.1,15,1.58,35,95,249,72,0.64,0.255,6.0998,0,0,0,0,0.14,0,0,0,0,2.1,0.021,0.002,0.682,0.03,12,0,8,0.1,0,12,12,0,0,0,19.959
2731,56205320,205537,,"Rice, white and wild blend, cooked with vegetable oil ",2.1709,2.539,20.6099,115.486,0,73.125,0,0,0.13,0.541,10.167,0.98,13.7669,40.9519,40.82,493.124,0.496,0.076,3.4239,0,0.039,0.433,0,0.346,0,0,0,8.65,0,0.105,0.019,1.197,0.049,38.167,0,2.724,2.726,34.188,3.979,62.0829,0,0,0,0.353
4755,91201010,000000,Carbs,"Sugar substitute, aspartame-based, dry powder (Equal)",2.1699,0,89.0798,365,0,8.75,0,0,80.7,0,0,0.04,0,0,4,0,0.01,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6711,73111270,000000,,"Peas and carrots, canned, low sodium, no fat added",2.1699,0.27,8.48,38,0,88.15,0,0,2.83,3.2999,23,0.75,14,46,100,4,0.58,0.103,0.9,0,343,3400,1353,0.38,0,72,0,1070,6.2999,0.07,0.053,0.581,0.088,17,0,12.6,13.1,0,17,17,0,0,0,0.049
2729,56205320,000000,,"Rice, white and wild blend, cooked with margarine",2.1699,2.16,20.6099,112,0,73.45,0,0,0.13,0.5,10,0.98,14,41,41,511,0.5,0.076,3.3999,19,20,15,0,0.28,0,0,0,9,0,0.105,0.02,1.1959,0.05,38,0,3,2.3999,34,4,62,0,0,0,0.417
4699,83102000,000000,,Caesar dressing,2.1699,57.85,3.2999,542,0,34.2999,0,0,2.81,0.5,48,1.08,2,19,29,1209,0.11,0.01,1.6,9,9,2,1,4.74,0.1,1,0,22,0.3,0.01,0.01,0.04,0.025,2,0.03,15.6,104.8,0,2,2,0,0,39,8.7888
162,12110300,000000,,"Cream, light, whipped, unsweetened",2.1699,30.91,2.96,292,0,63.5,0,0,2.96,0,69,0.03,7,61,97,34,0.25,0.007,0.5,274,279,60,0,0.88,0.6,0,0,0,0.6,0.024,0.125,0.042,0.028,4,0.2,16.8,2.7,0,4,4,0,0,111,19.337
3370,58161300,200211,,"Rice and tomato sauce, cooked with vegetable oil",2.164,1.457,19.75,101.621,0,74.87,0,0,1.496,0.771,11.026,1.118,13.143,36.2749,136.3199,492.8299,0.381,0.084,4.835,0,7.578,89.2169,0,0.664,0,1.0329,4815.286,7.923,2.411,0.112,0.031,1.274,0.092,40.6379,0,4.7469,2.325,34.942,5.695,65.415,0,0,0,0.217
4343,75219011,000000,,"Mushrooms, fresh, cooked (with salt, no fat added)",2.16,0.47,5.2599,28,0,90.5199,0,0,2.33,2.2,6,1.73,12,86,354,239,0.86,0.501,11.8,0,0,0,0,0.01,0.2,0,0,0,4,0.073,0.298,4.4329,0.094,18,0,20.3,0,0,18,18,0,0,0,0.061
5206,75219011,900000,,"Mushroom, fresh, cooked (no salt or fat added)",2.16,0.47,5.2599,28,0,90.5199,0,0,2.33,2.2,6,1.73,12,86,354,2,0.86,0.501,11.8,0,0,0,0,0.01,0.2,0,0,0,4,0.073,0.298,4.4329,0.094,18,0,20.3,0,0,18,18,0,0,0,0.061
4344,75219012,000000,,"Mushrooms, frozen, cooked (with salt, no fat added)",2.16,0.47,5.2599,28,0,90.5199,0,0,2.33,2.2,6,1.73,12,86,354,239,0.86,0.501,11.8,0,0,0,0,0.01,0.2,0,0,0,4,0.073,0.298,4.4329,0.094,18,0,20.3,0,0,18,18,0,0,0,0.061
